oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag,dist,angle,GroupID,GroupSize
1809211300066821,5.0570051,59.2817534,1809,11,3,zr,2,2,2,2,21.968,0.147,5.455439E-7,0.0,0.2416248,20.97498,0.0,20.80413,0.1707606,20.63327,84.372847,199.181611,484,2
806203100056961,5.0275606,59.3096425,806,3,1,zr,91,90,91,90,21.129,0.109,2.495298E-6,1.357637,0.3093245,21.81505,0.1762142,21.08957,0.1924338,20.22379,84.3888,284.224606,479,4
1809211300042897,5.0530371,59.2825577,1809,11,3,zr,0,0,0,0,22.644,0.211,0.0,,0.0,0.0,0.0,0.0,,0.0,84.398788,204.513669,,
1809111300037129,5.0551401,59.3256839,1809,11,3,zg,3,3,4,4,21.693,0.111,2.088277E-7,0.0,0.08094674,21.5946,0.0,21.54817,0.2254208,21.43707,84.404946,338.370995,482,5
1809211300061893,5.0285587,59.3113978,1809,11,3,zr,0,0,0,0,22.964,0.341,0.0,,0.0,0.0,0.0,0.0,,0.0,84.416046,288.692343,477,2
806203100043273,5.0550194,59.3256635,806,3,1,zr,577,570,598,591,20.321,0.054,1.107956E-6,1.122387,0.158701,20.85619,0.09992409,20.30193,0.1319932,19.74928,84.418767,338.212766,482,5
1809111300028966,5.0569165,59.281747,1809,11,3,zg,0,0,0,0,22.837,0.252,0.0,,0.0,0.0,0.0,0.0,,0.0,84.448234,199.280893,484,2
806303100082204,5.0320096,59.3153808,806,3,1,zi,28,25,31,27,20.627,0.061,1.626852E-6,0.7540452,0.1561501,20.92428,0.07211494,20.60077,0.1417921,20.2133,84.451827,299.346512,481,3
806303100091427,5.0366283,59.2889325,806,3,1,zi,0,0,0,0,22.204,0.231,0.0,,0.0,0.0,0.0,0.0,,0.0,84.534251,230.447923,,
1809111300037311,5.1180783,59.3041856,1809,11,3,zg,0,0,0,0,22.714,0.19,0.0,,0.0,0.0,0.0,0.0,,0.0,84.539444,89.25898,485,4
806203100043693,5.1180838,59.30419,806,3,1,zr,241,240,241,240,21.124,0.116,1.231281E-6,1.174187,0.2222071,21.53799,0.1473217,21.00162,0.1860173,20.43958,84.549746,89.248331,485,4
1809211300074781,5.0660859,59.280596,1809,11,3,zr,4,4,4,4,21.916,0.138,2.914918E-6,0.4783919,0.1068024,21.32685,0.06602383,21.25443,0.2046166,21.10113,84.579302,187.488625,,
